"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,27 Dec 2019 14:20:05.423,27 Dec 2019 14:29:13.764,548.341
81,27 Dec 2019 15:56:16.640,27 Dec 2019 16:07:00.548,643.908
82,27 Dec 2019 17:33:27.162,27 Dec 2019 17:41:55.363,508.201
83,28 Dec 2019 07:00:16.165,28 Dec 2019 07:07:22.494,426.329
84,28 Dec 2019 08:34:21.525,28 Dec 2019 08:45:04.297,642.773
85,28 Dec 2019 10:11:45.740,28 Dec 2019 10:21:17.711,571.971
86,28 Dec 2019 11:50:25.711,28 Dec 2019 11:57:58.197,452.486
87,28 Dec 2019 13:27:51.861,28 Dec 2019 13:36:18.330,506.468
88,28 Dec 2019 15:04:05.826,28 Dec 2019 15:14:35.451,629.626
89,28 Dec 2019 16:40:44.135,28 Dec 2019 16:50:34.599,590.464
90,29 Dec 2019 06:11:00.343,29 Dec 2019 06:12:46.575,106.232
91,29 Dec 2019 07:42:20.516,29 Dec 2019 07:52:44.442,623.927
92,29 Dec 2019 09:18:59.940,29 Dec 2019 09:29:08.137,608.197
93,29 Dec 2019 10:57:32.327,29 Dec 2019 11:05:30.089,477.762
94,29 Dec 2019 12:35:30.934,29 Dec 2019 12:43:21.571,470.637
95,29 Dec 2019 14:11:56.237,29 Dec 2019 14:21:57.239,601.002
96,29 Dec 2019 15:48:16.614,29 Dec 2019 15:58:47.991,631.376
97,29 Dec 2019 17:27:14.948,29 Dec 2019 17:31:14.279,239.331
98,30 Dec 2019 06:50:38.687,30 Dec 2019 07:00:13.384,574.697
99,30 Dec 2019 08:26:23.950,30 Dec 2019 08:36:57.658,633.709
100,30 Dec 2019 10:04:34.691,30 Dec 2019 10:13:10.200,515.509
101,30 Dec 2019 11:42:59.762,30 Dec 2019 11:50:28.813,449.051
102,30 Dec 2019 13:19:45.605,30 Dec 2019 13:29:08.379,562.774
103,30 Dec 2019 14:55:57.626,30 Dec 2019 15:06:41.874,644.248
104,30 Dec 2019 16:33:25.156,30 Dec 2019 16:41:08.400,463.245
105,31 Dec 2019 05:59:23.920,31 Dec 2019 06:07:22.599,478.679
106,31 Dec 2019 07:34:00.166,31 Dec 2019 07:44:43.986,643.820
107,31 Dec 2019 09:11:38.088,31 Dec 2019 09:20:55.578,557.490
108,31 Dec 2019 10:50:16.878,31 Dec 2019 10:57:44.523,447.645
109,31 Dec 2019 12:27:31.476,31 Dec 2019 12:36:12.100,520.624
110,31 Dec 2019 14:03:43.357,31 Dec 2019 14:14:19.502,636.144
111,31 Dec 2019 15:40:30.853,31 Dec 2019 15:49:57.548,566.695
112,1 Jan 2020 05:09:04.085,1 Jan 2020 05:13:43.598,279.512
113,1 Jan 2020 06:41:50.913,1 Jan 2020 06:52:24.517,633.604
114,1 Jan 2020 08:18:46.969,1 Jan 2020 08:28:43.354,596.386
115,1 Jan 2020 09:57:23.677,1 Jan 2020 10:05:10.525,466.848
116,1 Jan 2020 11:35:11.027,1 Jan 2020 11:43:12.727,481.700
117,1 Jan 2020 13:11:31.143,1 Jan 2020 13:21:43.196,612.053
118,1 Jan 2020 14:47:56.445,1 Jan 2020 14:58:16.677,620.232
119,2 Jan 2020 05:49:59.311,2 Jan 2020 05:59:55.607,596.295
120,2 Jan 2020 07:26:04.723,2 Jan 2020 07:36:31.032,626.310
121,2 Jan 2020 09:04:24.371,2 Jan 2020 09:12:45.644,501.273
122,2 Jan 2020 10:42:41.234,2 Jan 2020 10:50:15.502,454.269
123,2 Jan 2020 12:19:18.688,2 Jan 2020 12:28:55.288,576.601
124,2 Jan 2020 13:55:32.517,2 Jan 2020 14:06:14.547,642.030
125,2 Jan 2020 15:33:21.906,2 Jan 2020 15:40:08.305,406.399
