"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,12 Dec 2019 15:25:08.501,12 Dec 2019 15:35:48.220,639.719
81,12 Dec 2019 17:02:52.450,12 Dec 2019 17:11:59.160,546.709
82,12 Dec 2019 18:41:22.332,12 Dec 2019 18:48:56.038,453.706
83,12 Dec 2019 20:18:25.042,12 Dec 2019 20:27:23.696,538.654
84,12 Dec 2019 21:54:35.864,12 Dec 2019 22:05:15.240,639.376
85,12 Dec 2019 23:31:34.203,12 Dec 2019 23:40:26.831,532.628
86,13 Dec 2019 12:59:09.775,13 Dec 2019 13:04:57.651,347.875
87,13 Dec 2019 14:32:32.211,13 Dec 2019 14:43:07.172,634.962
88,13 Dec 2019 16:09:36.890,13 Dec 2019 16:19:22.706,585.816
89,13 Dec 2019 17:48:09.471,13 Dec 2019 17:55:55.348,465.877
90,13 Dec 2019 19:25:43.304,13 Dec 2019 19:34:02.325,499.020
91,13 Dec 2019 21:01:59.541,13 Dec 2019 21:12:20.734,621.193
92,13 Dec 2019 22:38:30.360,13 Dec 2019 22:48:32.772,602.412
93,14 Dec 2019 13:40:12.530,14 Dec 2019 13:50:17.319,604.789
94,14 Dec 2019 15:16:28.925,14 Dec 2019 15:26:46.552,617.627
95,14 Dec 2019 16:54:48.744,14 Dec 2019 17:03:03.835,495.090
96,14 Dec 2019 18:32:52.796,14 Dec 2019 18:40:40.866,468.071
97,14 Dec 2019 20:09:23.322,14 Dec 2019 20:19:13.226,589.903
98,14 Dec 2019 21:45:39.388,14 Dec 2019 21:56:14.229,634.842
99,14 Dec 2019 23:23:56.787,14 Dec 2019 23:29:26.038,329.250
100,15 Dec 2019 12:48:14.553,15 Dec 2019 12:57:12.966,538.414
101,15 Dec 2019 14:23:31.460,15 Dec 2019 14:34:08.282,636.822
102,15 Dec 2019 16:01:25.296,15 Dec 2019 16:10:19.162,533.866
103,15 Dec 2019 17:39:51.029,15 Dec 2019 17:47:24.557,453.528
104,15 Dec 2019 19:16:44.813,15 Dec 2019 19:25:55.531,550.718
105,15 Dec 2019 20:52:55.347,15 Dec 2019 21:03:36.511,641.164
