"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,27 Dec 2019 14:16:39.151,27 Dec 2019 14:25:23.146,523.995
81,27 Dec 2019 15:52:52.733,27 Dec 2019 16:03:27.438,634.705
82,27 Dec 2019 17:29:41.090,27 Dec 2019 17:39:04.162,563.072
83,28 Dec 2019 06:58:39.346,28 Dec 2019 07:02:47.381,248.034
84,28 Dec 2019 08:31:11.660,28 Dec 2019 08:41:40.331,628.672
85,28 Dec 2019 10:08:02.598,28 Dec 2019 10:18:01.195,598.597
86,28 Dec 2019 11:46:34.416,28 Dec 2019 11:54:29.203,474.786
87,28 Dec 2019 13:24:21.155,28 Dec 2019 13:32:28.246,487.091
88,28 Dec 2019 15:00:43.146,28 Dec 2019 15:10:54.864,611.718
89,28 Dec 2019 16:37:09.526,28 Dec 2019 16:47:26.603,617.077
90,29 Dec 2019 07:39:24.830,29 Dec 2019 07:49:13.461,588.631
91,29 Dec 2019 09:15:24.963,29 Dec 2019 09:25:51.400,626.438
92,29 Dec 2019 10:53:39.509,29 Dec 2019 11:02:07.353,507.844
93,29 Dec 2019 12:31:54.048,29 Dec 2019 12:39:35.483,461.435
94,29 Dec 2019 14:08:33.235,29 Dec 2019 14:18:10.940,577.705
95,29 Dec 2019 15:44:48.398,29 Dec 2019 15:55:27.882,639.484
96,29 Dec 2019 17:22:38.964,29 Dec 2019 17:29:19.924,400.960
97,30 Dec 2019 06:48:02.085,30 Dec 2019 06:56:30.052,507.967
98,30 Dec 2019 08:22:58.703,30 Dec 2019 08:33:39.164,640.461
99,30 Dec 2019 10:00:44.065,30 Dec 2019 10:09:51.566,547.501
100,30 Dec 2019 11:39:15.921,30 Dec 2019 11:46:49.561,453.640
101,30 Dec 2019 13:16:20.656,30 Dec 2019 13:25:18.589,537.933
102,30 Dec 2019 14:52:33.096,30 Dec 2019 15:03:12.032,638.935
103,30 Dec 2019 16:29:32.757,30 Dec 2019 16:38:25.745,532.988
104,31 Dec 2019 05:57:21.495,31 Dec 2019 06:03:11.414,349.919
105,31 Dec 2019 07:30:46.139,31 Dec 2019 07:41:22.011,635.872
106,31 Dec 2019 09:07:52.727,31 Dec 2019 09:17:39.017,586.291
107,31 Dec 2019 10:46:27.206,31 Dec 2019 10:54:13.170,465.964
108,31 Dec 2019 12:24:02.778,31 Dec 2019 12:32:21.711,498.934
