"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,14 Feb 2020 17:06:57.329,14 Feb 2020 17:14:51.467,474.138
81,14 Feb 2020 18:43:42.944,14 Feb 2020 18:53:09.681,566.736
82,14 Feb 2020 20:19:51.771,14 Feb 2020 20:30:31.117,639.346
83,14 Feb 2020 21:57:09.192,14 Feb 2020 22:04:54.299,465.106
84,15 Feb 2020 11:23:03.175,15 Feb 2020 11:30:06.815,423.639
85,15 Feb 2020 12:57:00.928,15 Feb 2020 13:07:40.573,639.645
86,15 Feb 2020 14:34:11.577,15 Feb 2020 14:43:50.207,578.631
87,15 Feb 2020 16:12:31.170,15 Feb 2020 16:20:28.416,477.246
88,15 Feb 2020 17:49:44.994,15 Feb 2020 17:58:33.402,528.408
89,15 Feb 2020 19:25:55.550,15 Feb 2020 19:36:27.156,631.606
90,15 Feb 2020 21:02:34.042,15 Feb 2020 21:12:02.465,568.423
91,16 Feb 2020 10:32:41.964,16 Feb 2020 10:33:11.122,29.158
92,16 Feb 2020 12:03:17.900,16 Feb 2020 12:13:35.638,617.737
93,16 Feb 2020 13:39:42.871,16 Feb 2020 13:49:55.261,612.389
94,16 Feb 2020 15:17:55.383,16 Feb 2020 15:26:14.553,499.170
95,16 Feb 2020 16:55:39.052,16 Feb 2020 17:03:54.348,495.296
96,16 Feb 2020 18:32:00.384,16 Feb 2020 18:42:08.037,607.654
97,16 Feb 2020 20:08:18.495,16 Feb 2020 20:18:38.465,619.970
98,16 Feb 2020 21:47:45.426,16 Feb 2020 21:50:15.326,149.900
99,17 Feb 2020 11:09:55.829,17 Feb 2020 11:19:17.536,561.707
100,17 Feb 2020 12:45:24.022,17 Feb 2020 12:55:58.938,634.916
101,17 Feb 2020 14:23:14.751,17 Feb 2020 14:32:08.420,533.669
102,17 Feb 2020 16:01:22.341,17 Feb 2020 16:09:18.037,475.695
103,17 Feb 2020 17:38:03.548,17 Feb 2020 17:47:36.714,573.166
104,17 Feb 2020 19:14:12.650,17 Feb 2020 19:24:51.505,638.855
105,17 Feb 2020 20:51:39.224,17 Feb 2020 20:58:59.666,440.442
106,18 Feb 2020 10:17:05.110,18 Feb 2020 10:24:35.214,450.105
107,18 Feb 2020 11:51:17.990,18 Feb 2020 12:01:58.514,640.524
108,18 Feb 2020 13:28:34.801,18 Feb 2020 13:38:07.179,572.379
109,18 Feb 2020 15:06:53.657,18 Feb 2020 15:14:49.054,475.397

