Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
57,VTGS,VCC-B,44431,2019-12-05 18:53:43.599,2019-12-05 19:03:59.649,616.05,26.433
58,ODUGS,VCC-C,44430,2019-12-05 23:14:26.054,2019-12-05 23:24:01.997,575.943,15.533
59,UVAGS,VCC-A,44428,2019-12-05 23:44:04.626,2019-12-05 23:54:20.071,615.445,24.479
60,VTGS,VCC-B,44431,2019-12-05 23:46:42.616,2019-12-05 23:56:41.409,598.793,20.193
61,ODUGS,VCC-C,44430,2019-12-06 00:50:38.703,2019-12-06 01:01:22.753,644.05,73.801
62,UVAGS,VCC-A,44428,2019-12-06 01:20:30.967,2019-12-06 01:30:59.412,628.445,35.639
63,VTGS,VCC-B,44431,2019-12-06 01:23:03.537,2019-12-06 01:33:37.926,634.389,45.65
64,ODUGS,VCC-C,44430,2019-12-06 15:53:33.742,2019-12-06 16:02:05.871,512.129,10.142
65,UVAGS,VCC-A,44428,2019-12-06 16:23:33.722,2019-12-06 16:32:58.132,564.41,15.329
66,VTGS,VCC-B,44431,2019-12-06 16:25:55.731,2019-12-06 16:35:12.070,556.339,14.624
67,ODUGS,VCC-C,44430,2019-12-06 17:28:30.562,2019-12-06 17:39:13.399,642.837,65.426
68,UVAGS,VCC-A,44428,2019-12-06 17:59:08.445,2019-12-06 18:09:48.498,640.053,47.323
69,VTGS,VCC-B,44431,2019-12-06 18:01:27.417,2019-12-06 18:12:04.461,637.044,46.824
70,ODUGS,VCC-C,44430,2019-12-06 19:06:17.425,2019-12-06 19:15:23.615,546.19,12.04
71,UVAGS,VCC-A,44428,2019-12-06 19:37:04.795,2019-12-06 19:46:07.781,542.986,11.6
72,VTGS,VCC-B,44431,2019-12-06 19:39:29.560,2019-12-06 19:48:19.231,529.671,10.729
73,ODUGS,VCC-C,44430,2019-12-06 22:21:57.157,2019-12-06 22:30:51.071,533.914,10.882
74,UVAGS,VCC-A,44428,2019-12-06 22:52:07.809,2019-12-06 23:01:51.673,583.864,16.566
75,VTGS,VCC-B,44431,2019-12-06 22:54:47.261,2019-12-06 23:04:08.917,561.656,13.824
76,ODUGS,VCC-C,44430,2019-12-06 23:58:07.286,2019-12-07 00:08:48.713,641.427,51.852
77,UVAGS,VCC-A,44428,2019-12-07 00:28:26.089,2019-12-07 00:39:12.144,646.055,76.914
78,VTGS,VCC-B,44431,2019-12-07 00:31:01.425,2019-12-07 00:41:45.956,644.531,82.306
79,ODUGS,VCC-C,44430,2019-12-07 01:35:02.631,2019-12-07 01:44:07.701,545.07,12.943
80,ODUGS,VCC-C,44430,2019-12-07 16:36:00.805,2019-12-07 16:46:39.367,638.562,56.891
81,UVAGS,VCC-A,44428,2019-12-07 17:07:03.655,2019-12-07 17:17:48.687,645.032,85.304
82,VTGS,VCC-B,44431,2019-12-07 17:09:23.311,2019-12-07 17:20:05.554,642.243,84.343
83,ODUGS,VCC-C,44430,2019-12-07 18:13:07.838,2019-12-07 18:22:54.490,586.652,17.511
84,UVAGS,VCC-A,44428,2019-12-07 18:44:29.015,2019-12-07 18:54:06.656,577.641,15.708
85,VTGS,VCC-B,44431,2019-12-07 18:46:51.692,2019-12-07 18:56:20.655,568.963,14.889
86,UVAGS,VCC-A,44428,2019-12-07 22:00:07.366,2019-12-07 22:09:16.083,548.717,12.1
87,VTGS,VCC-B,44431,2019-12-07 22:02:47.869,2019-12-07 22:11:29.674,521.805,10.084
88,ODUGS,VCC-C,44430,2019-12-07 23:05:38.286,2019-12-07 23:15:59.454,621.168,27.923
89,UVAGS,VCC-A,44428,2019-12-07 23:36:25.640,2019-12-07 23:47:08.840,643.2,52.218
90,VTGS,VCC-B,44431,2019-12-07 23:39:03.266,2019-12-07 23:49:38.299,635.033,40.64
91,ODUGS,VCC-C,44430,2019-12-08 00:42:07.336,2019-12-08 00:52:17.787,610.451,26.062
92,UVAGS,VCC-A,44428,2019-12-08 01:13:19.778,2019-12-08 01:22:35.085,555.307,13.977
93,VTGS,VCC-B,44431,2019-12-08 01:15:48.962,2019-12-08 01:25:23.762,574.8,17.131
94,ODUGS,VCC-C,44430,2019-12-08 15:43:47.626,2019-12-08 15:53:56.523,608.897,26.092
95,UVAGS,VCC-A,44428,2019-12-08 16:15:12.633,2019-12-08 16:25:42.999,630.366,39.458
96,VTGS,VCC-B,44431,2019-12-08 16:17:33.689,2019-12-08 16:28:00.232,626.543,38.257
97,ODUGS,VCC-C,44430,2019-12-08 17:20:06.046,2019-12-08 17:30:25.560,619.514,27.713
98,UVAGS,VCC-A,44428,2019-12-08 17:51:57.965,2019-12-08 18:02:07.656,609.691,22.91
99,VTGS,VCC-B,44431,2019-12-08 17:54:19.517,2019-12-08 18:04:23.825,604.308,22.12
100,ODUGS,VCC-C,44430,2019-12-08 22:13:09.297,2019-12-08 22:22:57.281,587.984,17.619
101,UVAGS,VCC-A,44428,2019-12-08 22:44:26.914,2019-12-08 22:54:51.945,625.031,29.197
102,VTGS,VCC-B,44431,2019-12-08 22:47:06.539,2019-12-08 22:57:17.215,610.676,23.847
103,ODUGS,VCC-C,44430,2019-12-08 23:49:24.191,2019-12-09 00:00:04.151,639.96,56.619
104,UVAGS,VCC-A,44428,2019-12-09 00:20:58.464,2019-12-09 00:31:13.051,614.587,27.254
105,VTGS,VCC-B,44431,2019-12-09 00:23:32.079,2019-12-09 00:33:55.801,623.722,34.11
106,ODUGS,VCC-C,44430,2019-12-09 14:51:55.992,2019-12-09 15:00:59.278,543.286,12.912
107,UVAGS,VCC-A,44428,2019-12-09 15:23:38.697,2019-12-09 15:33:27.717,589.02,19.726
108,VTGS,VCC-B,44431,2019-12-09 15:26:01.959,2019-12-09 15:35:44.587,582.628,18.939
109,ODUGS,VCC-C,44430,2019-12-09 16:27:14.880,2019-12-09 16:37:54.436,639.556,51.458
110,UVAGS,VCC-A,44428,2019-12-09 16:59:34.828,2019-12-09 17:10:08.503,633.675,37.464
111,VTGS,VCC-B,44431,2019-12-09 17:01:56.165,2019-12-09 17:12:26.390,630.225,36.768
112,ODUGS,VCC-C,44430,2019-12-09 18:05:12.261,2019-12-09 18:14:04.507,532.246,10.809
113,UVAGS,VCC-A,44428,2019-12-09 18:37:40.107,2019-12-09 18:46:30.029,529.922,10.506
114,ODUGS,VCC-C,44430,2019-12-09 21:20:37.944,2019-12-09 21:29:44.973,547.029,12.089
115,UVAGS,VCC-A,44428,2019-12-09 21:52:27.649,2019-12-09 22:02:23.801,596.152,18.993
116,VTGS,VCC-B,44431,2019-12-09 21:55:09.027,2019-12-09 22:04:45.043,576.016,15.82
117,ODUGS,VCC-C,44430,2019-12-09 22:56:47.665,2019-12-09 23:07:31.676,644.011,65.812
118,UVAGS,VCC-A,44428,2019-12-09 23:28:47.728,2019-12-09 23:39:29.464,641.736,57.228
119,VTGS,VCC-B,44431,2019-12-09 23:31:24.535,2019-12-09 23:42:07.449,642.914,74.95
120,ODUGS,VCC-C,44430,2019-12-10 00:33:54.868,2019-12-10 00:42:28.160,513.292,10.155
121,ODUGS,VCC-C,44430,2019-12-10 15:34:36.720,2019-12-10 15:45:18.690,641.97,73.991
122,UVAGS,VCC-A,44428,2019-12-10 16:07:22.185,2019-12-10 16:18:06.966,644.781,73.122
123,VTGS,VCC-B,44431,2019-12-10 16:09:44.079,2019-12-10 16:20:26.117,642.038,73.308
124,ODUGS,VCC-C,44430,2019-12-10 17:11:57.058,2019-12-10 17:21:31.037,573.979,15.427
125,UVAGS,VCC-A,44428,2019-12-10 17:45:00.195,2019-12-10 17:54:24.230,564.035,13.876
126,VTGS,VCC-B,44431,2019-12-10 17:47:26.198,2019-12-10 17:56:39.878,553.68,13.034
127,UVAGS,VCC-A,44428,2019-12-10 21:00:25.631,2019-12-10 21:09:47.195,561.564,13.499
128,VTGS,VCC-B,44431,2019-12-10 21:03:08.417,2019-12-10 21:12:04.746,536.329,11.268
129,ODUGS,VCC-C,44430,2019-12-10 22:04:14.420,2019-12-10 22:14:43.181,628.761,33.176
130,UVAGS,VCC-A,44428,2019-12-10 22:36:42.713,2019-12-10 22:47:28.660,645.947,68.155
131,VTGS,VCC-B,44431,2019-12-10 22:39:22.130,2019-12-10 22:50:02.365,640.235,52.263
132,ODUGS,VCC-C,44430,2019-12-10 23:40:49.909,2019-12-10 23:50:43.937,594.028,20.889
133,UVAGS,VCC-A,44428,2019-12-11 00:13:49.335,2019-12-11 00:22:30.123,520.788,10.658
134,VTGS,VCC-B,44431,2019-12-11 00:16:18.876,2019-12-11 00:25:24.217,545.341,13.181
135,ODUGS,VCC-C,44430,2019-12-11 14:42:14.173,2019-12-11 14:52:35.295,621.122,32.792
136,UVAGS,VCC-A,44428,2019-12-11 15:15:22.393,2019-12-11 15:26:00.610,638.217,52.764
137,VTGS,VCC-B,44431,2019-12-11 15:17:45.558,2019-12-11 15:28:20.518,634.96,51.48
138,ODUGS,VCC-C,44430,2019-12-11 16:18:48.608,2019-12-11 16:28:58.570,609.962,23.674
139,UVAGS,VCC-A,44428,2019-12-11 16:52:23.616,2019-12-11 17:02:21.486,597.87,19.651
140,VTGS,VCC-B,44431,2019-12-11 16:54:48.286,2019-12-11 17:04:39.624,591.338,18.839
141,UVAGS,VCC-A,44428,2019-12-11 20:08:18.482,2019-12-11 20:17:05.685,527.203,10.274
142,ODUGS,VCC-C,44430,2019-12-11 21:11:41.930,2019-12-11 21:21:40.962,599.032,20.099
143,UVAGS,VCC-A,44428,2019-12-11 21:44:40.383,2019-12-11 21:55:13.340,632.957,35.502
144,VTGS,VCC-B,44431,2019-12-11 21:47:22.069,2019-12-11 21:57:42.978,620.909,28.59
145,ODUGS,VCC-C,44430,2019-12-11 22:47:59.916,2019-12-11 22:58:33.341,633.425,43.69
146,UVAGS,VCC-A,44428,2019-12-11 23:21:18.626,2019-12-11 23:31:15.019,596.393,21.17
147,VTGS,VCC-B,44431,2019-12-11 23:23:53.586,2019-12-11 23:34:02.540,608.954,26.071
148,ODUGS,VCC-C,44430,2019-12-12 13:50:11.308,2019-12-12 13:59:39.600,568.292,16.123
149,UVAGS,VCC-A,44428,2019-12-12 14:23:38.316,2019-12-12 14:33:46.230,607.914,25.312
150,VTGS,VCC-B,44431,2019-12-12 14:26:03.491,2019-12-12 14:36:06.266,602.775,24.426
151,ODUGS,VCC-C,44430,2019-12-12 15:25:50.017,2019-12-12 15:36:24.640,634.623,41.43
152,UVAGS,VCC-A,44428,2019-12-12 15:59:53.863,2019-12-12 16:10:19.425,625.562,30.577
153,VTGS,VCC-B,44431,2019-12-12 16:02:18.134,2019-12-12 16:12:39.625,621.491,29.793
154,ODUGS,VCC-C,44430,2019-12-12 20:19:07.837,2019-12-12 20:28:27.606,559.769,13.482
155,UVAGS,VCC-A,44428,2019-12-12 20:52:38.352,2019-12-12 21:02:45.812,607.46,22.001
156,VTGS,VCC-B,44431,2019-12-12 20:55:22.057,2019-12-12 21:05:11.525,589.468,18.252
157,ODUGS,VCC-C,44430,2019-12-12 21:55:17.965,2019-12-12 22:06:02.627,644.662,83.372
158,UVAGS,VCC-A,44428,2019-12-12 22:29:01.383,2019-12-12 22:39:35.645,634.262,42.701
159,VTGS,VCC-B,44431,2019-12-12 22:31:40.051,2019-12-12 22:42:18.265,638.214,55.386
160,UVAGS,VCC-A,44428,2019-12-13 13:32:14.702,2019-12-13 13:41:18.584,543.882,12.897
161,VTGS,VCC-B,44431,2019-12-13 13:34:42.938,2019-12-13 13:43:37.732,534.794,12.271
162,ODUGS,VCC-C,44430,2019-12-13 14:33:03.752,2019-12-13 14:43:46.854,643.102,86.78
163,UVAGS,VCC-A,44428,2019-12-13 15:07:33.730,2019-12-13 15:18:15.812,642.082,55.914
164,VTGS,VCC-B,44431,2019-12-13 15:09:58.422,2019-12-13 15:20:37.617,639.195,55.499
165,ODUGS,VCC-C,44430,2019-12-13 16:10:36.321,2019-12-13 16:19:57.287,560.966,13.712
166,UVAGS,VCC-A,44428,2019-12-13 16:45:22.912,2019-12-13 16:54:33.469,550.557,12.392
167,VTGS,VCC-B,44431,2019-12-13 16:47:52.831,2019-12-13 16:56:51.163,538.332,11.525
168,UVAGS,VCC-A,44428,2019-12-13 20:00:34.404,2019-12-13 20:10:08.678,574.274,15.181
169,VTGS,VCC-B,44431,2019-12-13 20:03:19.838,2019-12-13 20:12:30.709,550.871,12.684
170,ODUGS,VCC-C,44430,2019-12-13 21:02:40.233,2019-12-13 21:13:15.040,634.807,40.041
171,UVAGS,VCC-A,44428,2019-12-13 21:36:51.404,2019-12-13 21:47:37.657,646.253,88.475
