Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
58,VTGS,VCC-B,44431,2019-12-14 14:17:51.443,2019-12-14 14:28:31.266,639.823,69.74
59,VTGS,VCC-B,44431,2019-12-14 15:55:09.675,2019-12-14 16:04:47.146,577.471,16.27
60,VTGS,VCC-B,44431,2019-12-14 20:47:29.293,2019-12-14 20:57:58.611,629.318,34.943
61,VTGS,VCC-B,44431,2019-12-14 22:24:08.314,2019-12-14 22:33:57.964,589.65,20.22
62,VTGS,VCC-B,44431,2019-12-15 13:25:59.759,2019-12-15 13:36:17.632,617.873,31.7
63,VTGS,VCC-B,44431,2019-12-15 15:02:33.130,2019-12-15 15:12:44.267,611.137,24.76
64,VTGS,VCC-B,44431,2019-12-15 19:55:26.453,2019-12-15 20:05:28.222,601.769,21.26
65,VTGS,VCC-B,44431,2019-12-15 21:31:48.101,2019-12-15 21:42:18.312,630.211,41.202
66,VTGS,VCC-B,44431,2019-12-16 12:34:27.347,2019-12-16 12:43:52.195,564.848,15.899
67,VTGS,VCC-B,44431,2019-12-16 14:10:06.134,2019-12-16 14:20:40.206,634.072,43.024
68,VTGS,VCC-B,44431,2019-12-16 15:48:11.329,2019-12-16 15:56:54.627,523.298,10.291
69,VTGS,VCC-B,44431,2019-12-16 19:03:22.261,2019-12-16 19:12:47.346,565.085,14.375
70,VTGS,VCC-B,44431,2019-12-16 20:39:36.018,2019-12-16 20:50:19.263,643.245,89.424
71,VTGS,VCC-B,44431,2019-12-17 13:17:51.080,2019-12-17 13:28:32.687,641.607,88.328
72,VTGS,VCC-B,44431,2019-12-17 14:55:23.478,2019-12-17 15:04:46.496,563.018,14.214
