Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
57,ODUGS,VCC-C,44430,2019-12-14 15:17:21.537,2019-12-14 15:27:21.046,599.509,20.526
58,ODUGS,VCC-C,44430,2019-12-14 20:10:04.008,2019-12-14 20:20:12.967,608.959,23.086
59,ODUGS,VCC-C,44430,2019-12-14 21:46:25.927,2019-12-14 21:56:50.275,624.348,34.334
60,ODUGS,VCC-C,44430,2019-12-15 12:48:19.052,2019-12-15 12:58:07.387,588.335,19.934
61,ODUGS,VCC-C,44430,2019-12-15 14:24:15.795,2019-12-15 14:34:44.069,628.274,34.212
62,ODUGS,VCC-C,44430,2019-12-15 19:17:26.911,2019-12-15 19:26:58.852,571.941,15.092
63,ODUGS,VCC-C,44430,2019-12-15 20:53:38.225,2019-12-15 21:04:21.543,643.318,77.657
64,ODUGS,VCC-C,44430,2019-12-16 13:31:21.715,2019-12-16 13:42:03.971,642.256,68.969
65,ODUGS,VCC-C,44430,2019-12-16 15:09:05.446,2019-12-16 15:18:13.281,547.835,12.284
66,ODUGS,VCC-C,44430,2019-12-16 18:24:46.453,2019-12-16 18:33:35.828,529.375,10.582
67,ODUGS,VCC-C,44430,2019-12-16 20:00:55.761,2019-12-16 20:11:35.026,639.265,49.174
68,ODUGS,VCC-C,44430,2019-12-16 21:37:47.894,2019-12-16 21:46:57.915,550.021,13.578
69,ODUGS,VCC-C,44430,2019-12-17 12:38:41.700,2019-12-17 12:49:18.130,636.43,53.328
70,ODUGS,VCC-C,44430,2019-12-17 14:15:44.682,2019-12-17 14:25:33.037,588.355,18.013
