"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,27 Dec 2019 13:33:30.388,27 Dec 2019 13:41:33.098,482.710
81,27 Dec 2019 15:09:46.896,27 Dec 2019 15:19:59.892,612.995
82,27 Dec 2019 16:46:10.949,27 Dec 2019 16:56:27.143,616.194
83,28 Dec 2019 07:47:47.665,28 Dec 2019 07:57:45.428,597.763
84,28 Dec 2019 09:23:53.852,28 Dec 2019 09:34:17.106,623.255
85,28 Dec 2019 11:02:12.411,28 Dec 2019 11:10:29.587,497.176
86,28 Dec 2019 12:40:25.245,28 Dec 2019 12:47:58.783,453.538
87,28 Dec 2019 14:16:58.749,28 Dec 2019 14:26:36.095,577.346
88,28 Dec 2019 15:53:10.408,28 Dec 2019 16:03:50.630,640.222
89,28 Dec 2019 17:31:01.499,28 Dec 2019 17:37:36.184,394.685
90,29 Dec 2019 06:55:43.162,29 Dec 2019 07:04:24.846,521.685
91,29 Dec 2019 08:30:46.037,29 Dec 2019 08:41:26.477,640.440
92,29 Dec 2019 10:08:35.237,29 Dec 2019 10:17:34.658,539.420
93,29 Dec 2019 11:47:07.934,29 Dec 2019 11:54:31.402,443.468
94,29 Dec 2019 13:24:07.792,29 Dec 2019 13:33:02.777,534.985
95,29 Dec 2019 15:00:15.958,29 Dec 2019 15:10:55.676,639.719
96,29 Dec 2019 16:37:13.368,29 Dec 2019 16:46:06.202,532.833
97,30 Dec 2019 06:04:18.929,30 Dec 2019 06:10:30.717,371.787
98,30 Dec 2019 07:37:52.166,30 Dec 2019 07:48:30.636,638.469
99,30 Dec 2019 09:15:01.859,30 Dec 2019 09:24:43.076,581.217
100,30 Dec 2019 10:53:38.586,30 Dec 2019 11:01:14.193,455.607
101,30 Dec 2019 12:31:11.158,30 Dec 2019 12:39:24.085,492.927
102,30 Dec 2019 14:07:24.400,30 Dec 2019 14:17:45.016,620.616
103,30 Dec 2019 15:43:53.565,30 Dec 2019 15:53:57.081,603.515
104,31 Dec 2019 06:45:15.118,31 Dec 2019 06:55:26.238,611.121
105,31 Dec 2019 08:21:36.322,31 Dec 2019 08:31:52.020,615.699
106,31 Dec 2019 10:00:00.726,31 Dec 2019 10:08:06.988,486.262
107,31 Dec 2019 11:38:05.628,31 Dec 2019 11:45:45.321,459.693
108,31 Dec 2019 13:14:33.200,31 Dec 2019 13:24:21.025,587.826
109,31 Dec 2019 14:50:47.127,31 Dec 2019 15:01:23.044,635.917
110,31 Dec 2019 16:29:03.137,31 Dec 2019 16:34:34.898,331.761
111,1 Jan 2020 05:52:59.766,1 Jan 2020 06:02:07.769,548.003
112,1 Jan 2020 07:28:21.626,1 Jan 2020 07:38:59.000,637.374
113,1 Jan 2020 09:06:19.871,1 Jan 2020 09:15:07.225,527.354
114,1 Jan 2020 10:44:48.370,1 Jan 2020 10:52:12.140,443.769
115,1 Jan 2020 12:21:39.902,1 Jan 2020 12:30:46.549,546.647
116,1 Jan 2020 13:57:47.959,1 Jan 2020 14:08:29.530,641.570
117,1 Jan 2020 15:34:56.460,1 Jan 2020 15:43:19.643,503.183
118,2 Jan 2020 05:01:17.923,2 Jan 2020 05:08:22.738,424.816
119,2 Jan 2020 06:35:20.250,2 Jan 2020 06:46:01.517,641.267
120,2 Jan 2020 08:12:41.504,2 Jan 2020 08:22:11.665,570.161
121,2 Jan 2020 09:51:18.636,2 Jan 2020 09:58:48.604,449.968
122,2 Jan 2020 11:28:41.741,2 Jan 2020 11:37:05.408,503.667
123,2 Jan 2020 13:04:52.482,2 Jan 2020 13:15:19.567,627.085
124,2 Jan 2020 14:41:27.621,2 Jan 2020 14:51:15.878,588.257
125,3 Jan 2020 04:11:33.947,3 Jan 2020 04:12:46.144,72.197
126,3 Jan 2020 05:42:34.858,3 Jan 2020 05:52:56.493,621.635
127,3 Jan 2020 07:19:10.016,3 Jan 2020 07:29:17.363,607.348
128,3 Jan 2020 08:57:39.104,3 Jan 2020 09:05:35.482,476.378
129,3 Jan 2020 10:35:35.548,3 Jan 2020 10:43:22.646,467.098
130,3 Jan 2020 12:11:58.037,3 Jan 2020 12:21:55.554,597.517
131,3 Jan 2020 13:48:14.887,3 Jan 2020 13:58:44.626,629.739
132,3 Jan 2020 15:27:06.152,3 Jan 2020 15:31:12.764,246.612
133,4 Jan 2020 04:50:09.557,4 Jan 2020 04:59:39.221,569.664
134,4 Jan 2020 06:25:48.672,4 Jan 2020 06:36:21.756,633.084
135,4 Jan 2020 08:03:54.986,4 Jan 2020 08:12:30.651,515.665
136,4 Jan 2020 09:42:18.222,4 Jan 2020 09:49:44.012,445.790
