Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VCC-NET,VCC-C,44430,2020-03-26 02:22:29.544,2020-03-26 02:31:49.521,559.977,12.368
1,VCC-NET,VCC-A,44428,2020-03-26 02:59:14.986,2020-03-26 03:09:28.998,614.012,18.626
2,VCC-NET,VCC-B,44431,2020-03-26 03:01:15.186,2020-03-26 03:11:31.776,616.59,19.137
3,VCC-NET,VCC-C,44430,2020-03-26 03:58:28.027,2020-03-26 04:09:40.709,672.682,61.084
4,VCC-NET,VCC-A,44428,2020-03-26 04:35:21.256,2020-03-26 04:46:43.729,682.473,76.864
5,VCC-NET,VCC-B,44431,2020-03-26 04:37:21.561,2020-03-26 04:48:43.596,682.035,80.883
6,VCC-NET,VCC-C,44430,2020-03-26 05:34:55.247,2020-03-26 05:44:38.058,582.811,19.738
7,VCC-NET,VCC-A,44428,2020-03-26 19:38:13.951,2020-03-26 19:46:41.992,508.041,10.041
8,VCC-NET,VCC-B,44431,2020-03-26 19:40:09.283,2020-03-26 19:49:01.213,531.93,10.591
9,VCC-NET,VCC-C,44430,2020-03-26 20:34:57.150,2020-03-26 20:46:04.012,666.862,49.324
10,VCC-NET,VCC-A,44428,2020-03-26 21:12:30.952,2020-03-26 21:24:01.820,690.868,82.925
11,VCC-NET,VCC-B,44431,2020-03-26 21:14:30.478,2020-03-26 21:26:01.480,691.002,87.047
12,VCC-NET,VCC-C,44430,2020-03-26 22:11:15.478,2020-03-26 22:22:13.012,657.534,25.031
13,VCC-NET,VCC-A,44428,2020-03-26 22:49:47.397,2020-03-26 23:00:10.861,623.464,15.625
14,VCC-NET,VCC-B,44431,2020-03-26 22:51:49.565,2020-03-26 23:02:10.511,620.946,15.259
15,VCC-NET,VCC-A,44428,2020-03-27 02:05:38.843,2020-03-27 02:15:06.740,567.897,12.892
16,VCC-NET,VCC-B,44431,2020-03-27 02:07:38.587,2020-03-27 02:17:09.173,570.586,13.173
17,VCC-NET,VCC-C,44430,2020-03-27 03:03:34.845,2020-03-27 03:14:22.561,647.716,30.468
18,VCC-NET,VCC-A,44428,2020-03-27 03:41:42.258,2020-03-27 03:53:00.025,677.767,65.759
19,VCC-NET,VCC-B,44431,2020-03-27 03:43:41.557,2020-03-27 03:55:00.213,678.656,69.183
20,VCC-NET,VCC-C,44430,2020-03-27 04:39:43.058,2020-03-27 04:50:29.290,646.232,43.796
