Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,UVAGS,VCC-C,44430,2019-12-16 18:24:24.040,2019-12-16 18:33:25.554,541.514,11.604
1,WFF,VCC-C,44430,2019-12-16 18:24:57.165,2019-12-16 18:34:08.958,551.793,12.794
2,ODUGS,VCC-C,44430,2019-12-16 18:25:03.836,2019-12-16 18:33:53.556,529.72,10.606
3,VTGS,VCC-A,44428,2019-12-16 19:01:05.831,2019-12-16 19:10:27.764,561.933,13.97
4,UVAGS,VCC-A,44428,2019-12-16 19:01:10.916,2019-12-16 19:10:58.192,587.276,17.324
5,WFF,VCC-A,44428,2019-12-16 19:01:41.958,2019-12-16 19:11:39.773,597.815,19.877
6,ODUGS,VCC-A,44428,2019-12-16 19:01:47.355,2019-12-16 19:11:30.314,582.959,16.589
7,VTGS,VCC-B,44431,2019-12-16 19:03:48.504,2019-12-16 19:13:14.157,565.653,14.436
8,UVAGS,VCC-B,44431,2019-12-16 19:03:53.638,2019-12-16 19:13:44.099,590.461,17.92
9,WFF,VCC-B,44431,2019-12-16 19:04:24.615,2019-12-16 19:14:25.478,600.863,20.632
10,ODUGS,VCC-B,44431,2019-12-16 19:04:29.872,2019-12-16 19:14:16.429,586.557,17.211
11,VTGS,VCC-C,44430,2019-12-16 20:00:32.432,2019-12-16 20:11:00.555,628.123,35.593
12,UVAGS,VCC-C,44430,2019-12-16 20:00:39.728,2019-12-16 20:11:18.796,639.068,48.103
13,WFF,VCC-C,44430,2019-12-16 20:01:10.649,2019-12-16 20:11:52.264,641.615,63.02
14,ODUGS,VCC-C,44430,2019-12-16 20:01:13.271,2019-12-16 20:11:52.760,639.489,49.386
15,VTGS,VCC-A,44428,2019-12-16 20:37:19.519,2019-12-16 20:48:02.989,643.47,84.76
16,UVAGS,VCC-A,44428,2019-12-16 20:37:29.277,2019-12-16 20:48:13.332,644.055,69.356
17,WFF,VCC-A,44428,2019-12-16 20:38:02.442,2019-12-16 20:48:39.755,637.313,50.714
18,ODUGS,VCC-A,44428,2019-12-16 20:38:02.905,2019-12-16 20:48:46.005,643.1,64.51
19,VTGS,VCC-B,44431,2019-12-16 20:40:02.506,2019-12-16 20:50:45.944,643.438,89.659
20,UVAGS,VCC-B,44431,2019-12-16 20:40:12.490,2019-12-16 20:50:55.675,643.185,64.499
21,WFF,VCC-B,44431,2019-12-16 20:40:45.939,2019-12-16 20:51:21.541,635.602,47.152
22,ODUGS,VCC-B,44431,2019-12-16 20:40:46.180,2019-12-16 20:51:28.196,642.016,59.79
