Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VCC-NET,VCC-C,44430,2019-12-01 18:38:07.242,2019-12-01 18:48:30.833,623.591,33.771
1,VCC-NET,VCC-A,44428,2019-12-01 19:05:43.371,2019-12-01 19:16:55.368,671.997,72.311
2,VCC-NET,VCC-B,44431,2019-12-01 19:08:23.564,2019-12-01 19:19:37.317,673.753,77.682
3,VCC-NET,VCC-C,44430,2019-12-01 20:14:09.870,2019-12-01 20:25:10.291,660.421,33.104
4,VCC-NET,VCC-A,44428,2019-12-01 20:42:35.800,2019-12-01 20:53:11.063,635.263,20.918
5,VCC-NET,VCC-B,44431,2019-12-01 20:45:20.145,2019-12-01 20:55:52.487,632.342,20.166
6,VCC-NET,VCC-B,44431,2019-12-02 00:01:44.514,2019-12-02 00:10:31.602,527.088,10.198
7,VCC-NET,VCC-C,44430,2019-12-02 01:07:14.034,2019-12-02 01:17:56.512,642.478,21.084
8,VCC-NET,VCC-A,44428,2019-12-02 01:35:19.984,2019-12-02 01:46:31.454,671.47,32.922
9,VCC-NET,VCC-B,44431,2019-12-02 01:38:01.334,2019-12-02 01:49:14.992,673.658,34.698
10,VCC-NET,VCC-C,44430,2019-12-02 02:43:29.017,2019-12-02 02:54:47.806,678.789,65.087
11,VCC-NET,VCC-A,44428,2019-12-02 03:11:48.088,2019-12-02 03:22:36.379,648.291,30.965
12,VCC-NET,VCC-B,44431,2019-12-02 03:14:30.967,2019-12-02 03:25:14.803,643.836,29.018
13,VCC-NET,VCC-C,44430,2019-12-02 17:46:30.585,2019-12-02 17:55:40.318,549.733,16.66
14,VCC-NET,VCC-A,44428,2019-12-02 18:14:14.989,2019-12-02 18:24:37.778,622.789,32.8
15,VCC-NET,VCC-B,44431,2019-12-02 18:16:53.679,2019-12-02 18:27:21.267,627.588,35.111
16,VCC-NET,VCC-C,44430,2019-12-02 19:21:30.884,2019-12-02 19:32:47.698,676.814,64.697
17,VCC-NET,VCC-A,44428,2019-12-02 19:50:17.350,2019-12-02 20:01:20.275,662.925,34.01
18,VCC-NET,VCC-B,44431,2019-12-02 19:53:01.091,2019-12-02 20:04:01.961,660.87,32.32
19,VCC-NET,VCC-C,44430,2019-12-02 20:59:17.006,2019-12-02 21:08:55.841,578.835,12.797
20,VCC-NET,VCC-C,44430,2019-12-03 00:14:49.498,2019-12-03 00:24:55.146,605.648,14.613
21,VCC-NET,VCC-A,44428,2019-12-03 00:43:28.817,2019-12-03 00:54:11.705,642.888,20.843
22,VCC-NET,VCC-B,44431,2019-12-03 00:46:10.590,2019-12-03 00:56:56.633,646.043,21.639
23,VCC-NET,VCC-C,44430,2019-12-03 01:51:01.245,2019-12-03 02:02:29.145,687.9,86.141
24,VCC-NET,VCC-A,44428,2019-12-03 02:19:45.734,2019-12-03 02:31:06.886,681.152,67.198
25,VCC-NET,VCC-B,44431,2019-12-03 02:22:28.207,2019-12-03 02:33:47.573,679.366,62.393
26,VCC-NET,VCC-C,44430,2019-12-03 03:28:02.057,2019-12-03 03:36:51.489,529.432,11.683
27,VCC-NET,VCC-A,44428,2019-12-03 17:23:08.699,2019-12-03 17:32:17.919,549.22,16.434
28,VCC-NET,VCC-B,44431,2019-12-03 17:25:46.300,2019-12-03 17:35:03.438,557.138,17.502
29,VCC-NET,VCC-C,44430,2019-12-03 18:29:05.257,2019-12-03 18:40:21.407,676.15,83.765
30,VCC-NET,VCC-A,44428,2019-12-03 18:58:09.824,2019-12-03 19:09:28.331,678.507,66.003
31,VCC-NET,VCC-B,44431,2019-12-03 19:00:52.838,2019-12-03 19:12:10.577,677.739,61.635
32,VCC-NET,VCC-C,44430,2019-12-03 20:06:12.799,2019-12-03 20:16:32.626,619.827,17.877
33,VCC-NET,VCC-A,44428,2019-12-03 20:35:57.179,2019-12-03 20:45:38.632,581.453,12.954
34,VCC-NET,VCC-B,44431,2019-12-03 20:38:43.270,2019-12-03 20:48:21.372,578.102,12.614
35,VCC-NET,VCC-C,44430,2019-12-03 23:22:24.700,2019-12-03 23:31:19.144,534.444,10.887
36,VCC-NET,VCC-A,44428,2019-12-03 23:51:34.939,2019-12-04 00:01:41.569,606.63,14.585
37,VCC-NET,VCC-B,44431,2019-12-03 23:54:17.442,2019-12-04 00:04:27.741,610.299,15.034
38,VCC-NET,VCC-C,44430,2019-12-04 00:58:36.123,2019-12-04 01:09:53.713,677.59,41.49
39,VCC-NET,VCC-A,44428,2019-12-04 01:27:48.988,2019-12-04 01:39:18.462,689.474,84.928
40,VCC-NET,VCC-B,44431,2019-12-04 01:30:31.468,2019-12-04 01:42:01.143,689.675,89.293
41,VCC-NET,VCC-C,44430,2019-12-04 02:35:08.860,2019-12-04 02:45:33.677,624.817,23.498
42,VCC-NET,VCC-A,44428,2019-12-04 03:04:51.130,2019-12-04 03:13:44.214,533.084,11.919
43,VCC-NET,VCC-B,44431,2019-12-04 03:07:37.062,2019-12-04 03:16:21.315,524.253,11.137
44,VCC-NET,VCC-C,44430,2019-12-04 17:36:55.839,2019-12-04 17:47:34.476,638.637,43.582
45,VCC-NET,VCC-A,44428,2019-12-04 18:06:15.472,2019-12-04 18:17:33.000,677.528,84.239
46,VCC-NET,VCC-B,44431,2019-12-04 18:08:57.632,2019-12-04 18:20:16.114,678.482,78.776
47,VCC-NET,VCC-C,44430,2019-12-04 19:13:15.919,2019-12-04 19:24:07.568,651.649,27.722
48,VCC-NET,VCC-A,44428,2019-12-04 19:43:24.823,2019-12-04 19:53:46.533,621.71,17.996
