Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
57,UVAGS,VCC-B,44431,2020-03-27 02:07:38.587,2020-03-27 02:16:40.676,542.089,11.888
58,WFF,VCC-B,44431,2020-03-27 02:08:11.401,2020-03-27 02:17:24.110,552.709,13.173
59,ODUGS,VCC-B,44431,2020-03-27 02:08:17.970,2020-03-27 02:17:09.173,531.203,10.921
60,VTGS,VCC-C,44430,2020-03-27 03:03:34.845,2020-03-27 03:13:23.897,589.052,19.928
61,UVAGS,VCC-C,44430,2020-03-27 03:03:40.521,2020-03-27 03:13:48.929,608.408,25.302
62,WFF,VCC-C,44430,2020-03-27 03:04:10.890,2020-03-27 03:14:27.429,616.539,30.468
63,ODUGS,VCC-C,44430,2020-03-27 03:04:15.087,2020-03-27 03:14:22.561,607.474,24.96
64,VTGS,VCC-A,44428,2020-03-27 03:41:42.258,2020-03-27 03:52:08.220,625.962,36.661
65,UVAGS,VCC-A,44428,2020-03-27 03:41:49.615,2020-03-27 03:52:26.100,636.485,49.873
66,WFF,VCC-A,44428,2020-03-27 03:42:20.635,2020-03-27 03:52:59.317,638.682,65.759
67,ODUGS,VCC-A,44428,2020-03-27 03:42:23.094,2020-03-27 03:53:00.025,636.931,51.348
68,VTGS,VCC-B,44431,2020-03-27 03:43:41.557,2020-03-27 03:54:08.863,627.306,38.225
69,UVAGS,VCC-B,44431,2020-03-27 03:43:49.029,2020-03-27 03:54:26.320,637.291,52.279
70,WFF,VCC-B,44431,2020-03-27 03:44:20.130,2020-03-27 03:54:59.186,639.056,69.183
71,ODUGS,VCC-B,44431,2020-03-27 03:44:22.479,2020-03-27 03:55:00.213,637.734,53.983
72,VTGS,VCC-C,44430,2020-03-27 04:39:43.058,2020-03-27 04:50:06.644,623.586,43.796
73,UVAGS,VCC-C,44430,2020-03-27 04:39:55.677,2020-03-27 04:50:10.085,614.408,31.902
74,ODUGS,VCC-C,44430,2020-03-27 04:40:30.415,2020-03-27 04:50:40.471,610.056,29.217
75,WFF,VCC-C,44430,2020-03-27 04:40:32.343,2020-03-27 04:50:29.290,596.947,24.13
76,VTGS,VCC-A,44428,2020-03-27 05:18:16.977,2020-03-27 05:27:55.363,578.386,18.661
77,UVAGS,VCC-A,44428,2020-03-27 05:18:35.135,2020-03-27 05:27:48.713,553.578,14.274
78,ODUGS,VCC-A,44428,2020-03-27 05:19:13.415,2020-03-27 05:28:14.494,541.079,12.825
79,WFF,VCC-A,44428,2020-03-27 05:19:19.847,2020-03-27 05:27:55.736,515.889,10.683
80,VTGS,VCC-B,44431,2020-03-27 05:20:17.953,2020-03-27 05:29:52.000,574.047,17.812
81,UVAGS,VCC-B,44431,2020-03-27 05:20:36.552,2020-03-27 05:29:44.662,548.11,13.613
82,ODUGS,VCC-B,44431,2020-03-27 05:21:15.142,2020-03-27 05:30:10.069,534.927,12.2
83,WFF,VCC-B,44431,2020-03-27 05:21:21.956,2020-03-27 05:29:50.757,508.801,10.137
84,VTGS,VCC-C,44430,2020-03-27 19:40:39.905,2020-03-27 19:49:42.885,542.98,13.817
85,ODUGS,VCC-C,44430,2020-03-27 19:40:46.574,2020-03-27 19:50:35.570,588.996,21.616
86,UVAGS,VCC-C,44430,2020-03-27 19:40:57.797,2020-03-27 19:50:15.997,558.2,15.457
87,WFF,VCC-C,44430,2020-03-27 19:41:06.671,2020-03-27 19:50:52.092,585.421,21.059
88,VTGS,VCC-A,44428,2020-03-27 20:19:03.002,2020-03-27 20:29:17.727,614.725,32.795
89,UVAGS,VCC-A,44428,2020-03-27 20:19:25.728,2020-03-27 20:29:47.484,621.756,36.318
90,ODUGS,VCC-A,44428,2020-03-27 20:19:26.922,2020-03-27 20:30:00.504,633.582,55.064
91,WFF,VCC-A,44428,2020-03-27 20:19:46.150,2020-03-27 20:30:17.243,631.093,52.048
92,VTGS,VCC-B,44431,2020-03-27 20:21:00.563,2020-03-27 20:31:17.422,616.859,34.494
93,UVAGS,VCC-B,44431,2020-03-27 20:21:23.486,2020-03-27 20:31:47.063,623.577,38.21
94,ODUGS,VCC-B,44431,2020-03-27 20:21:25.292,2020-03-27 20:31:59.810,634.518,58.292
95,WFF,VCC-B,44431,2020-03-27 20:21:44.455,2020-03-27 20:32:16.577,632.122,54.998
96,VTGS,VCC-C,44430,2020-03-27 21:15:56.421,2020-03-27 21:26:24.072,627.651,47.44
97,UVAGS,VCC-C,44430,2020-03-27 21:16:23.098,2020-03-27 21:26:52.472,629.374,45.043
98,ODUGS,VCC-C,44430,2020-03-27 21:16:41.846,2020-03-27 21:26:59.291,617.445,31.034
99,WFF,VCC-C,44430,2020-03-27 21:16:57.983,2020-03-27 21:27:17.515,619.532,33.743
100,VTGS,VCC-A,44428,2020-03-27 21:55:32.804,2020-03-27 22:05:36.576,603.772,23.755
101,UVAGS,VCC-A,44428,2020-03-27 21:55:59.827,2020-03-27 22:06:05.908,606.081,23.532
102,ODUGS,VCC-A,44428,2020-03-27 21:56:27.828,2020-03-27 22:06:10.692,582.864,17.513
103,WFF,VCC-A,44428,2020-03-27 21:56:40.991,2020-03-27 22:06:30.484,589.493,19.193
104,VTGS,VCC-B,44431,2020-03-27 21:57:33.623,2020-03-27 22:07:35.219,601.596,23.011
105,UVAGS,VCC-B,44431,2020-03-27 21:58:00.611,2020-03-27 22:08:04.636,604.025,22.838
106,ODUGS,VCC-B,44431,2020-03-27 21:58:29.114,2020-03-27 22:08:09.328,580.214,17.031
107,WFF,VCC-B,44431,2020-03-27 21:58:42.077,2020-03-27 22:08:29.223,587.146,18.682
108,VTGS,VCC-C,44430,2020-03-27 22:53:45.399,2020-03-27 23:02:24.860,519.461,10.462
109,UVAGS,VCC-C,44430,2020-03-27 22:54:08.771,2020-03-27 23:02:58.324,529.553,11.031
110,VTGS,VCC-C,44430,2020-03-28 02:08:39.387,2020-03-28 02:17:46.626,547.239,13.041
