Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VTGS,VCC-C,44430,2019-12-01 18:38:07.242,2019-12-01 18:47:59.700,592.458,21.365
1,ODUGS,VCC-C,44430,2019-12-01 18:38:23.225,2019-12-01 18:48:46.681,623.456,33.771
2,UVAGS,VCC-C,44430,2019-12-01 18:38:27.889,2019-12-01 18:48:30.833,602.944,23.652
3,VTGS,VCC-A,44428,2019-12-01 19:05:43.371,2019-12-01 19:16:14.246,630.875,42.468
4,UVAGS,VCC-A,44428,2019-12-01 19:06:07.014,2019-12-01 19:16:43.571,636.557,47.019
5,ODUGS,VCC-A,44428,2019-12-01 19:06:11.071,2019-12-01 19:16:55.368,644.297,72.311
6,VTGS,VCC-B,44431,2019-12-01 19:08:23.564,2019-12-01 19:18:56.624,633.06,45.642
7,UVAGS,VCC-B,44431,2019-12-01 19:08:47.434,2019-12-01 19:19:25.837,638.403,50.519
8,ODUGS,VCC-B,44431,2019-12-01 19:08:52.273,2019-12-01 19:19:37.317,645.044,77.682
9,VTGS,VCC-C,44430,2019-12-01 20:14:09.870,2019-12-01 20:24:35.667,625.797,33.104
10,UVAGS,VCC-C,44430,2019-12-01 20:14:36.927,2019-12-01 20:25:04.463,627.536,32.184
11,ODUGS,VCC-C,44430,2019-12-01 20:15:00.207,2019-12-01 20:25:10.291,610.084,23.341
12,VTGS,VCC-A,44428,2019-12-01 20:42:35.800,2019-12-01 20:52:36.683,600.883,20.918
13,UVAGS,VCC-A,44428,2019-12-01 20:43:02.672,2019-12-01 20:53:06.505,603.833,20.907
14,ODUGS,VCC-A,44428,2019-12-01 20:43:32.934,2019-12-01 20:53:11.063,578.129,15.734
15,VTGS,VCC-B,44431,2019-12-01 20:45:20.145,2019-12-01 20:55:18.065,597.92,20.128
16,UVAGS,VCC-B,44431,2019-12-01 20:45:46.945,2019-12-01 20:55:48.020,601.075,20.166
17,ODUGS,VCC-B,44431,2019-12-01 20:46:17.856,2019-12-01 20:55:52.487,574.631,15.203
18,UVAGS,VCC-B,44431,2019-12-02 00:01:44.514,2019-12-02 00:10:31.602,527.088,10.198
19,VTGS,VCC-C,44430,2019-12-02 01:07:14.034,2019-12-02 01:16:55.780,581.746,16.869
20,UVAGS,VCC-C,44430,2019-12-02 01:07:19.444,2019-12-02 01:17:23.415,603.971,21.084
21,ODUGS,VCC-C,44430,2019-12-02 01:07:54.860,2019-12-02 01:17:56.512,601.652,20.508
22,VTGS,VCC-A,44428,2019-12-02 01:35:19.984,2019-12-02 01:45:35.311,615.327,25.438
23,UVAGS,VCC-A,44428,2019-12-02 01:35:26.385,2019-12-02 01:45:57.451,631.066,32.87
24,ODUGS,VCC-A,44428,2019-12-02 01:36:00.470,2019-12-02 01:46:31.454,630.984,32.922
25,VTGS,VCC-B,44431,2019-12-02 01:38:01.334,2019-12-02 01:48:19.363,618.029,26.594
26,UVAGS,VCC-B,44431,2019-12-02 01:38:07.854,2019-12-02 01:48:40.961,633.107,34.536
27,ODUGS,VCC-B,44431,2019-12-02 01:38:41.849,2019-12-02 01:49:14.992,633.143,34.698
28,VTGS,VCC-C,44430,2019-12-02 02:43:29.017,2019-12-02 02:54:09.296,640.279,65.087
29,UVAGS,VCC-C,44430,2019-12-02 02:43:40.127,2019-12-02 02:54:16.162,636.035,46.166
30,ODUGS,VCC-C,44430,2019-12-02 02:44:14.236,2019-12-02 02:54:47.806,633.57,42.439
31,VTGS,VCC-A,44428,2019-12-02 03:11:48.088,2019-12-02 03:22:07.685,619.597,30.965
32,UVAGS,VCC-A,44428,2019-12-02 03:12:02.522,2019-12-02 03:22:07.454,604.932,23.39
33,ODUGS,VCC-A,44428,2019-12-02 03:12:38.403,2019-12-02 03:22:36.379,597.976,21.359
34,VTGS,VCC-B,44431,2019-12-02 03:14:30.967,2019-12-02 03:24:47.190,616.223,29.018
35,UVAGS,VCC-B,44431,2019-12-02 03:14:45.792,2019-12-02 03:24:46.213,600.421,22.013
36,ODUGS,VCC-B,44431,2019-12-02 03:15:21.924,2019-12-02 03:25:14.803,592.879,20.078
37,ODUGS,VCC-C,44430,2019-12-02 17:46:30.585,2019-12-02 17:56:03.020,572.435,16.66
38,VTGS,VCC-C,44430,2019-12-02 17:46:31.235,2019-12-02 17:55:05.230,513.995,10.495
39,UVAGS,VCC-C,44430,2019-12-02 17:46:46.813,2019-12-02 17:55:40.318,533.505,11.898
40,VTGS,VCC-A,44428,2019-12-02 18:14:14.989,2019-12-02 18:24:06.515,591.526,20.824
41,ODUGS,VCC-A,44428,2019-12-02 18:14:30.403,2019-12-02 18:24:53.834,623.431,32.8
42,UVAGS,VCC-A,44428,2019-12-02 18:14:35.485,2019-12-02 18:24:37.778,602.293,23.056
43,VTGS,VCC-B,44431,2019-12-02 18:16:53.679,2019-12-02 18:26:50.249,596.57,22.161
44,ODUGS,VCC-B,44431,2019-12-02 18:17:10.351,2019-12-02 18:27:36.855,626.504,35.111
45,UVAGS,VCC-B,44431,2019-12-02 18:17:14.524,2019-12-02 18:27:21.267,606.743,24.522
46,VTGS,VCC-C,44430,2019-12-02 19:21:30.884,2019-12-02 19:32:11.457,640.573,64.697
47,UVAGS,VCC-C,44430,2019-12-02 19:21:57.160,2019-12-02 19:32:39.892,642.732,60.513
48,ODUGS,VCC-C,44430,2019-12-02 19:22:12.679,2019-12-02 19:32:47.698,635.019,40.378
49,VTGS,VCC-A,44428,2019-12-02 19:50:17.350,2019-12-02 20:00:45.579,628.229,34.01
50,UVAGS,VCC-A,44428,2019-12-02 19:50:44.406,2019-12-02 20:01:14.355,629.949,33.02
51,ODUGS,VCC-A,44428,2019-12-02 19:51:07.351,2019-12-02 20:01:20.275,612.924,23.899
52,VTGS,VCC-B,44431,2019-12-02 19:53:01.091,2019-12-02 20:03:27.341,626.25,32.32
53,UVAGS,VCC-B,44431,2019-12-02 19:53:28.169,2019-12-02 20:03:56.190,628.021,31.475
54,ODUGS,VCC-B,44431,2019-12-02 19:53:51.806,2019-12-02 20:04:01.961,610.155,22.908
55,VTGS,VCC-C,44430,2019-12-02 20:59:17.006,2019-12-02 21:08:23.360,546.354,12.312
56,UVAGS,VCC-C,44430,2019-12-02 20:59:41.609,2019-12-02 21:08:55.841,554.232,12.797
57,VTGS,VCC-C,44430,2019-12-03 00:14:49.498,2019-12-03 00:23:51.455,541.957,11.828
58,UVAGS,VCC-C,44430,2019-12-03 00:14:54.450,2019-12-03 00:24:24.384,569.934,14.613
59,ODUGS,VCC-C,44430,2019-12-03 00:15:32.101,2019-12-03 00:24:55.146,563.045,13.761
60,VTGS,VCC-A,44428,2019-12-03 00:43:28.817,2019-12-03 00:53:10.819,582.002,16.698
61,UVAGS,VCC-A,44428,2019-12-03 00:43:34.220,2019-12-03 00:53:38.653,604.433,20.843
62,ODUGS,VCC-A,44428,2019-12-03 00:44:09.721,2019-12-03 00:54:11.705,601.984,20.252
63,VTGS,VCC-B,44431,2019-12-03 00:46:10.590,2019-12-03 00:55:56.113,585.523,17.303
64,UVAGS,VCC-B,44431,2019-12-03 00:46:16.063,2019-12-03 00:56:23.435,607.372,21.639
65,ODUGS,VCC-B,44431,2019-12-03 00:46:51.400,2019-12-03 00:56:56.633,605.233,21.083
66,VTGS,VCC-C,44430,2019-12-03 01:51:01.245,2019-12-03 02:01:42.217,640.972,58.692
67,UVAGS,VCC-C,44430,2019-12-03 01:51:09.910,2019-12-03 02:01:55.772,645.862,81.915
68,ODUGS,VCC-C,44430,2019-12-03 01:51:43.354,2019-12-03 02:02:29.145,645.791,86.141
69,VTGS,VCC-A,44428,2019-12-03 02:19:45.734,2019-12-03 02:30:28.011,642.277,67.198
70,UVAGS,VCC-A,44428,2019-12-03 02:19:56.737,2019-12-03 02:30:35.142,638.405,47.666
71,ODUGS,VCC-A,44428,2019-12-03 02:20:30.815,2019-12-03 02:31:06.886,636.071,43.845
72,VTGS,VCC-B,44431,2019-12-03 02:22:28.207,2019-12-03 02:33:09.540,641.333,62.393
73,UVAGS,VCC-B,44431,2019-12-03 02:22:39.472,2019-12-03 02:33:16.037,636.565,44.408
74,ODUGS,VCC-B,44431,2019-12-03 02:23:13.662,2019-12-03 02:33:47.573,633.911,40.813
75,VTGS,VCC-C,44430,2019-12-03 03:28:02.057,2019-12-03 03:36:51.489,529.432,11.683
76,ODUGS,VCC-A,44428,2019-12-03 17:23:08.699,2019-12-03 17:32:40.817,572.118,16.434
77,VTGS,VCC-A,44428,2019-12-03 17:23:09.810,2019-12-03 17:31:42.693,512.883,10.341
78,UVAGS,VCC-A,44428,2019-12-03 17:23:25.240,2019-12-03 17:32:17.919,532.679,11.735
79,VTGS,VCC-B,44431,2019-12-03 17:25:46.300,2019-12-03 17:34:28.712,522.412,11.095
80,ODUGS,VCC-B,44431,2019-12-03 17:25:47.020,2019-12-03 17:35:25.520,578.5,17.502
81,UVAGS,VCC-B,44431,2019-12-03 17:26:02.327,2019-12-03 17:35:03.438,541.111,12.537
82,VTGS,VCC-C,44430,2019-12-03 18:29:05.257,2019-12-03 18:39:42.036,636.779,58.25
83,UVAGS,VCC-C,44430,2019-12-03 18:29:29.822,2019-12-03 18:40:10.912,641.09,64.234
84,ODUGS,VCC-C,44430,2019-12-03 18:29:37.209,2019-12-03 18:40:21.407,644.198,83.765
85,VTGS,VCC-A,44428,2019-12-03 18:58:09.824,2019-12-03 19:08:52.011,642.187,66.003
86,UVAGS,VCC-A,44428,2019-12-03 18:58:36.077,2019-12-03 19:09:20.455,644.378,61.704
87,ODUGS,VCC-A,44428,2019-12-03 18:58:51.394,2019-12-03 19:09:28.331,636.937,41.139
88,VTGS,VCC-B,44431,2019-12-03 19:00:52.838,2019-12-03 19:11:34.461,641.623,61.635
89,UVAGS,VCC-B,44431,2019-12-03 19:01:19.206,2019-12-03 19:12:02.902,643.696,57.795
90,ODUGS,VCC-B,44431,2019-12-03 19:01:35.232,2019-12-03 19:12:10.577,635.345,38.827
91,VTGS,VCC-C,44430,2019-12-03 20:06:12.799,2019-12-03 20:15:58.068,585.269,17.701
92,UVAGS,VCC-C,44430,2019-12-03 20:06:39.274,2019-12-03 20:16:28.486,589.212,17.877
93,ODUGS,VCC-C,44430,2019-12-03 20:07:12.356,2019-12-03 20:16:32.626,560.27,13.522
94,VTGS,VCC-A,44428,2019-12-03 20:35:57.179,2019-12-03 20:45:06.202,549.023,12.474
95,UVAGS,VCC-A,44428,2019-12-03 20:36:21.859,2019-12-03 20:45:38.632,556.773,12.954
96,VTGS,VCC-B,44431,2019-12-03 20:38:43.270,2019-12-03 20:47:48.721,545.451,12.11
97,UVAGS,VCC-B,44431,2019-12-03 20:39:07.713,2019-12-03 20:48:21.372,553.659,12.614
98,UVAGS,VCC-C,44430,2019-12-03 23:22:24.700,2019-12-03 23:31:19.144,534.444,10.887
99,VTGS,VCC-A,44428,2019-12-03 23:51:34.939,2019-12-04 00:00:37.843,542.904,11.813
100,UVAGS,VCC-A,44428,2019-12-03 23:51:39.930,2019-12-04 00:01:10.849,570.919,14.585
101,ODUGS,VCC-A,44428,2019-12-03 23:52:17.641,2019-12-04 00:01:41.569,563.928,13.727
102,VTGS,VCC-B,44431,2019-12-03 23:54:17.442,2019-12-04 00:03:24.180,546.738,12.172
103,UVAGS,VCC-B,44431,2019-12-03 23:54:22.448,2019-12-04 00:03:56.739,574.291,15.034
104,ODUGS,VCC-B,44431,2019-12-03 23:54:59.918,2019-12-04 00:04:27.741,567.823,14.196
