Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
56,VCC-NET,VCC-A,44428,2019-12-20 12:15:41.510,2019-12-20 12:27:16.856,695.346,71.663
57,VCC-NET,VCC-B,44431,2019-12-20 12:18:24.892,2019-12-20 12:29:59.436,694.544,66.853
58,VCC-NET,VCC-C,44430,2019-12-20 13:13:28.834,2019-12-20 13:24:21.508,652.674,21.224
59,VCC-NET,VCC-A,44428,2019-12-20 13:53:24.447,2019-12-20 14:03:34.130,609.683,13.308
60,VCC-NET,VCC-B,44431,2019-12-20 13:56:10.987,2019-12-20 14:06:17.173,606.186,12.94
61,VCC-NET,VCC-C,44430,2019-12-20 16:30:24.234,2019-12-20 16:39:09.711,525.477,10.427
62,VCC-NET,VCC-A,44428,2019-12-20 17:09:04.831,2019-12-20 17:19:04.793,599.962,15.704
63,VCC-NET,VCC-B,44431,2019-12-20 17:11:47.739,2019-12-20 17:21:51.319,603.58,16.224
64,VCC-NET,VCC-C,44430,2019-12-20 18:06:04.117,2019-12-20 18:17:10.002,665.885,38.981
65,VCC-NET,VCC-A,44428,2019-12-20 18:45:17.948,2019-12-20 18:56:45.263,687.315,82.983
66,VCC-NET,VCC-B,44431,2019-12-20 18:48:00.697,2019-12-20 18:59:28.355,687.658,83.671
67,VCC-NET,VCC-C,44430,2019-12-20 19:42:27.512,2019-12-20 19:53:01.035,633.523,32.18
68,VCC-NET,VCC-A,44428,2019-12-20 20:22:15.286,2019-12-20 20:31:16.905,541.619,12.864
69,VCC-NET,VCC-B,44431,2019-12-20 20:25:01.241,2019-12-20 20:33:54.545,533.304,12.035
70,VCC-NET,VCC-C,44430,2019-12-21 10:44:25.635,2019-12-21 10:55:12.823,647.188,30.627
71,VCC-NET,VCC-A,44428,2019-12-21 11:23:37.456,2019-12-21 11:35:09.284,691.828,88.575
72,VCC-NET,VCC-B,44431,2019-12-21 11:26:19.390,2019-12-21 11:37:52.063,692.673,88.761
73,VCC-NET,VCC-C,44430,2019-12-21 12:20:19.852,2019-12-21 12:31:39.048,679.196,35.466
