Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VCC-NET,VCC-C,44430,2020-01-07 03:47:04.814,2020-01-07 03:57:12.779,607.965,19.754
1,VCC-NET,VCC-A,44428,2020-01-07 04:37:44.565,2020-01-07 04:49:12.673,688.108,74.924
2,VCC-NET,VCC-B,44431,2020-01-07 04:40:17.835,2020-01-07 04:51:47.383,689.548,80.196
3,VCC-NET,VCC-C,44430,2020-01-07 05:22:19.666,2020-01-07 05:33:49.548,689.882,53.468
4,VCC-NET,VCC-A,44428,2020-01-07 06:14:37.742,2020-01-07 06:25:29.245,651.503,20.399
5,VCC-NET,VCC-B,44431,2020-01-07 06:17:14.921,2020-01-07 06:28:03.468,648.547,19.697
6,VCC-NET,VCC-C,44430,2020-01-07 07:00:11.958,2020-01-07 07:10:04.787,592.829,11.772
7,VCC-NET,VCC-A,44428,2020-01-07 09:31:35.336,2020-01-07 09:40:24.790,529.454,10.729
8,VCC-NET,VCC-B,44431,2020-01-07 09:33:35.442,2020-01-07 09:43:02.477,567.035,10.982
9,VCC-NET,VCC-C,44430,2020-01-07 10:15:29.466,2020-01-07 10:25:40.074,610.608,17.854
10,VCC-NET,VCC-A,44428,2020-01-07 11:07:15.763,2020-01-07 11:18:24.079,668.316,41.564
11,VCC-NET,VCC-B,44431,2020-01-07 11:09:49.745,2020-01-07 11:20:59.914,670.169,43.928
12,VCC-NET,VCC-C,44430,2020-01-07 11:51:38.386,2020-01-07 12:03:01.805,683.419,83.426
13,VCC-NET,VCC-A,44428,2020-01-07 12:43:42.688,2020-01-07 12:54:10.731,628.043,29.802
14,VCC-NET,VCC-B,44431,2020-01-07 12:46:18.091,2020-01-07 12:56:40.983,622.892,27.99
15,VCC-NET,VCC-A,44428,2020-01-08 03:45:51.005,2020-01-08 03:56:46.645,655.64,33.491
16,VCC-NET,VCC-B,44431,2020-01-08 03:48:21.695,2020-01-08 03:59:21.205,659.51,35.744
17,VCC-NET,VCC-C,44430,2020-01-08 04:29:13.579,2020-01-08 04:40:46.986,693.407,76.992
18,VCC-NET,VCC-A,44428,2020-01-08 05:21:53.743,2020-01-08 05:33:12.785,679.042,33.281
19,VCC-NET,VCC-B,44431,2020-01-08 05:24:29.157,2020-01-08 05:35:46.081,676.924,31.698
20,VCC-NET,VCC-C,44430,2020-01-08 06:06:28.684,2020-01-08 06:16:58.594,629.91,16.316
21,VCC-NET,VCC-C,44430,2020-01-08 09:22:29.272,2020-01-08 09:31:54.829,565.557,12.565
22,VCC-NET,VCC-A,44428,2020-01-08 10:15:00.245,2020-01-08 10:25:39.859,639.614,24.436
