Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VTGS,VCC-C,44430,2020-01-07 03:47:04.814,2020-01-07 03:56:01.864,537.05,12.63
1,ODUGS,VCC-C,44430,2020-01-07 03:47:09.005,2020-01-07 03:56:56.221,587.216,19.754
2,UVAGS,VCC-C,44430,2020-01-07 03:47:21.969,2020-01-07 03:56:35.617,553.648,14.175
3,WFF,VCC-C,44430,2020-01-07 03:47:29.209,2020-01-07 03:57:12.779,583.57,19.294
4,VTGS,VCC-A,44428,2020-01-07 04:37:44.565,2020-01-07 04:48:14.932,630.367,43.908
5,UVAGS,VCC-A,44428,2020-01-07 04:38:08.353,2020-01-07 04:48:44.147,635.794,48.616
6,ODUGS,VCC-A,44428,2020-01-07 04:38:12.808,2020-01-07 04:48:55.771,642.963,74.924
7,WFF,VCC-A,44428,2020-01-07 04:38:31.700,2020-01-07 04:49:12.673,640.973,70.394
8,VTGS,VCC-B,44431,2020-01-07 04:40:17.835,2020-01-07 04:50:50.012,632.177,47.076
9,UVAGS,VCC-B,44431,2020-01-07 04:40:41.839,2020-01-07 04:51:19.113,637.274,52.107
10,ODUGS,VCC-B,44431,2020-01-07 04:40:47.047,2020-01-07 04:51:30.440,643.393,80.196
11,WFF,VCC-B,44431,2020-01-07 04:41:05.841,2020-01-07 04:51:47.383,641.542,75.338
12,VTGS,VCC-C,44430,2020-01-07 05:22:19.666,2020-01-07 05:32:55.874,636.208,53.468
13,UVAGS,VCC-C,44430,2020-01-07 05:22:46.253,2020-01-07 05:33:24.269,638.016,50.471
14,ODUGS,VCC-C,44430,2020-01-07 05:23:03.780,2020-01-07 05:33:31.480,627.7,34.403
15,WFF,VCC-C,44430,2020-01-07 05:23:20.278,2020-01-07 05:33:49.548,629.27,37.375
16,VTGS,VCC-A,44428,2020-01-07 06:14:37.742,2020-01-07 06:24:34.660,596.918,20.389
17,UVAGS,VCC-A,44428,2020-01-07 06:15:04.607,2020-01-07 06:25:04.489,599.882,20.399
18,ODUGS,VCC-A,44428,2020-01-07 06:15:35.261,2020-01-07 06:25:08.915,573.654,15.347
19,WFF,VCC-A,44428,2020-01-07 06:15:47.366,2020-01-07 06:25:29.245,581.879,16.902
20,VTGS,VCC-B,44431,2020-01-07 06:17:14.921,2020-01-07 06:27:08.707,593.786,19.642
21,UVAGS,VCC-B,44431,2020-01-07 06:17:41.704,2020-01-07 06:27:38.664,596.96,19.697
22,ODUGS,VCC-B,44431,2020-01-07 06:18:12.991,2020-01-07 06:27:42.997,570.006,14.841
23,WFF,VCC-B,44431,2020-01-07 06:18:24.812,2020-01-07 06:28:03.468,578.656,16.37
24,VTGS,VCC-C,44430,2020-01-07 07:00:11.958,2020-01-07 07:09:04.841,532.883,11.233
